title,description,author
겨울이 오면,겨울이 오면 고양이는 잠에 빠진다. 사람보다도 더 깊은 잠을 잔다. 겨울잠 자나? 싶을정도로 그러나 사실은 난방이 돌아가는 방이 따뜻해서 더 퍼지는 것 뿐이다. 고양이가 자주 눕는 곳은 명당자리이니 기억해두자 도도와 집사 스토리가 궁금하다면?,슬로
O,붉은색 빛바랜 담벼락 위에 고양이와 부엉이가 나란히 앉아 그리 멀지 않은 곳에서 덮쳐오는 먹구름을 바라보고 있었다. 비가 올 것이다. 세상에 대한 답을 찾으러 다녀온 며칠 사이 고양이는 꽤 말라있었다. 풀이 많이 죽어 보였다. 그런 그에게 부엉이는 안쓰러운 마음이 들었다. 서쪽 동네로의 방문에 어떤 소득이 있었는지는 차마 물어볼 수도 없었다. 결과가 만족스,안지안
D_50(24.11.28.목),눈 만난 강아지처럼 뛰어다녔다. 이 나이가 들어도 눈이 좋은 것은 어쩔 수 없나 보다. 온 세상이 하얗게 하얗게... 소복이 쌓인 눈이 왜 이리 좋은지. 눈 내리는 소리조차 들리지 않는데 내 심장 소리만 쿵쾅거린다. https://m.blog.naver.com/sjyss22/clip/6545366 계단 오르기로 오늘 운동 마무리. 끝! 오늘도 해냈다.,초등교사 윤수정
밥주러 와서 고맙다고,눈이 오는데도 밥주러 와서 고맙다고 고양이가 버선발로 뛰쳐나와 마중인사에 환영 발라당을 한다. 온몸에 눈이 묻어도 고양이는 이렇게 고마운 마음을 전한다. http://aladin.kr/p/4qasN,이용한
"나의 착한 고양이, 네가 예뻐하는 고양이","사- 소한 일로 랑- 랑하게 소리 높였더니 니- 는 왜 만날 그러는데? 를- 꼬투리나 잡을 줄 알고, 뽑- 삐가 그런다고 알아듣나? 고- 양이 이름이었다. 나- 의 착한 고양이. 니- 가 예뻐하는 고양이. 반- 고양이. 오른쪽 눈과 왼쪽 눈 색깔이 대- 른 고양이. 쪽- 집게 과외 선생처럼, 맛있는 수제 간식만 쏙쏙",희원이
"가을이 오자, 가을이 왔다 1","내 가을은, 화요일 아침 6시 30분쯤 받은 전화 한 통에 시작되었다. 6시 30분. 비몽사몽 전화를 받자, 엄마는 우리 집 데크 밑에 개가 들어왔다고 했다. 초코, 알파, 두나, 세나, 흰돌이가 아니고 '개'가 들어왔다고 했다. 그 말은, 데크 밑에서 나오지 않는 그 개는 우리 집 개가 아니라는 이야기였다. 일 년 전쯤 길을 잃은",미소
동량이 7화 너구리,,로로
비상사태,"# 반려견 신이가 아파요 저녁 6시, 마지막 손님 안내를 마치고 집으로 향하는 길. 왼쪽 눈을 제대로 뜨지 못하는 반려견 신이의 모습이 마음을 아프게 한다. 동물병원 예약을 서둘러 잡았지만,  신이의 눈곱 낀 왼쪽 눈, 고통의 침묵을 품은 채 바라보는 그 눈빛. 말로 표현할 수 없는 깊은 아픔이 스며들었다. ""괜찮아, 신아."" 손가락 끝으로 부드럽게 눈가를",행복한부자kms
시크함과 껌딱지 사이,"처음부터 쥐면 부서질까 불면 날아갈까, 뚱이 일이라면 벌벌 떨고 야단법석을 떤 건 아니었다. 오히려 그 반대. 난 참 무지했고, 무심한 언니였다.(내가 엄마가 된 건 뚱이나이 10살 즈음부터다.) 뚱이가 1살 때였을까. 뚱이는 첫 생리를 하고 얼마 지나지 않아 중성화 수술을 받았다. 얼마나 무심했으면 정확한 날짜는 고사하고 연도도 기억이 나질 않는 걸",첫사랑은뚱이
고양이의 소소한 비밀,,코싸리쿠 작가
"35화, 수맥 탐지냥, 하루",하루야.. 아무리 신기해도 세탁기 물은 만지면 안됭ㅠㅠ,haruandheart
넌 나의 댕타민,"퇴근 후 피곤함을 얹은 채 집에 돌아오면, 작은 반려견의 눈길 하나, 기대어 오는 무게 하나가 집사 마음의 비타민이 됩니다. 때로는 소파에 나란히 누워 있는 것만으로 마음 한구석에 구겨져 있던 여러 감정들이 치유되는 것 같습니다. 반려견은 그 존재만으로도 집사의 마음을 환하게 밝히며, 비타민처럼 삶을 더 건강하고 풍요롭게 만들어줍니다. (댕댕 예찬) 하지",배이비
"반려달팽이, 달선생 '주니어'가 왔습니다!","안녕하세요. '나만 몰랐던 민법', '박사는 내 운명', '조변명곡', '조변살림&조변육아'를 쓰고 있는 조변입니다. 이번 글은, 반려달팽이 '달선생 주니어 4마리'에 관한 글입니다. https://brunch.co.kr/@lawschool/204 지난 5월에 반려달팽이를 소개했습니다. 금와달팽이 2마리와 백와달팽이 1마리 그리고 토종 명주달팽이를",민법은 조변
"나는 타이거, 난 고양이가 아니다.","늙은 마숑의 집 낡은 집의 이층 창가. 베란다에 위치한 흔들의자에 타이거가 자고 있다. 한가로운 오후. 늘어지게 한숨 자던 타이거, 번쩍 눈을 뜬다. 고개를 둘러 주변을 경계하는 타이거. 이내, 피식 웃고는 천천히 자신의 혀로 털 손질(그루밍)을 시작한다. 타이거(N)     내 이름은 타이거. 보시다시피 고양이다. 하지만, 난 고양이가 아니다.",서풍 west wind
인도 유명 영화배우 살만 칸은 왜 살해 협박을 받나?,[# 1] 문제적 배우... 살만 칸... 1998년 9월 인도 북서부 라자스탄에서 한창 영화를 찍고 있던 인도 유명 영화배우 살만 칸(Salman Khan)이 인도 가젤(chinkara)을 밀렵했다는 고발장이 경찰 당국에 제출되었다. 인도를 대표하는 발리우드 영화계가 낳은 '3명의 칸(Khan)'중 한명인 살만 칸은 나머지 2명과 비교해서 대중의 호불호,호비와 호지의 아빠
꼬리는 못 참지..,"공원에서 친구와 놀기로 한 날. '기다려'라고 하니 기다리긴 하지만 친구의 모습이 보이기 한참 전부터 요동치는 꼬리. 좋은데 아닌 척, 싫은 척하는 건 있을 수도 없다, 꼬리가 먼저 춤을 추니까. 어릴 때는 꼬리만 치는 것도 불가능해 엉덩이 전체가 흔들 흔들이다. 밖에 나오기만 하면 좋다. 이제는 여우꼬리처럼 풍성해진 꼬리를 살랑살랑. 어릴 때도 밖에만 나",Sue
